original_filename,final_filename,order,color,state,bytes_preserved,status
LX-Sig-40-Black Gloss(SV and BV)-Open-Loaded-ProFlex.copy-interior.webp,liberty-lincoln-40-14-black-gloss-signature-interior-loaded.webp,14,black-gloss,loaded,yes,ready
LX-Sig-40-Black Gloss(SV and BV)-Open-Full No Guns-ProFlex.copy-interior.webp,liberty-lincoln-40-14-black-gloss-signature-interior-full-no-guns.webp,14,black-gloss,full-no-guns,yes,ready
LX-Sig-40-Black Gloss(SV and BV)-Open-Empty-ProFlex-interior.webp,liberty-lincoln-40-14-black-gloss-signature-interior-empty.webp,14,black-gloss,empty,yes,ready
LX-Sig-40-Black Cherry Gloss-Open-Loaded-ProFlex.copy-interior.webp,liberty-lincoln-40-13-black-cherry-gloss-signature-interior-loaded.webp,13,black-cherry-gloss,loaded,yes,ready
LX-Sig-40-Black Cherry Gloss-Open-Full No Guns-ProFlex-interior.webp,liberty-lincoln-40-13-black-cherry-gloss-signature-interior-full-no-guns.webp,13,black-cherry-gloss,full-no-guns,yes,ready
LX-Sig-40-Black Cherry Gloss-Open-Empty-ProFlex.copy-interior.webp,liberty-lincoln-40-13-black-cherry-gloss-signature-interior-empty.webp,13,black-cherry-gloss,empty,yes,ready
LX-Sig-40-White Ivory Gloss-Open-Loaded-ProFlex-interior.webp,liberty-lincoln-40-6-white-gloss-signature-interior-loaded.webp,6,white-gloss,loaded,yes,ready
LX-Sig-40-White Ivory Gloss-Open-Full No Guns-ProFlex.copy-interior.webp,liberty-lincoln-40-6-white-gloss-signature-interior-full-no-guns.webp,6,white-gloss,full-no-guns,yes,ready
LX-Sig-40-White Ivory Gloss-Open-Empty-ProFlex.copy-interior.webp,liberty-lincoln-40-6-white-gloss-signature-interior-empty.webp,6,white-gloss,empty,yes,ready
LX-Sig-40-White Marble-Open-Loaded-ProFlex.copy-interior.webp,liberty-lincoln-40-1-white-marble-signature-interior-loaded.webp,1,white-marble,loaded,yes,ready
LX-Sig-40-White Marble-Open-Full No Guns-ProFlex.copy-interior.webp,liberty-lincoln-40-1-white-marble-signature-interior-full-no-guns.webp,1,white-marble,full-no-guns,yes,ready
LX-Sig-40-White Marble-Open-Empty-ProFlex.copy-interior.webp,liberty-lincoln-40-1-white-marble-signature-interior-empty.webp,1,white-marble,empty,yes,ready
LX-Sig-40-Textured Bronze-Open-Loaded-ProFlex.copy-interior.webp,,,textured-bronze,loaded,yes,excluded — Liberty source naming mistake
LX-Sig-40-Textured Bronze-Open-Full No Guns-ProFlex.copy-interior.webp,,,textured-bronze,full-no-guns,yes,excluded — Liberty source naming mistake
LX-Sig-40-Textured Bronze-Open-Empty-ProFlex.copy-interior.webp,,,textured-bronze,empty,yes,excluded — Liberty source naming mistake
LX-Sig-40-Green Marble-Open-Loaded-ProFlex.copy-interior.webp,liberty-lincoln-40-5-green-marble-signature-interior-loaded.webp,5,green-marble,loaded,yes,ready
LX-Sig-40-Green Marble-Open-Full No Guns-ProFlex.copy-interior.webp,liberty-lincoln-40-5-green-marble-signature-interior-full-no-guns.webp,5,green-marble,full-no-guns,yes,ready
LX-Sig-40-Green Marble-Open-Empty-ProFlex.copy-interior.webp,liberty-lincoln-40-5-green-marble-signature-interior-empty.webp,5,green-marble,empty,yes,ready
LX-Sig-40-Green Gloss-Open-Loaded-ProFlex.copy-interior.webp,liberty-lincoln-40-11-green-gloss-signature-interior-loaded.webp,11,green-gloss,loaded,yes,ready
LX-Sig-40-Green Gloss-Open-Full No Guns-ProFlex.copy-interior.webp,liberty-lincoln-40-11-green-gloss-signature-interior-full-no-guns.webp,11,green-gloss,full-no-guns,yes,ready
