original_filename,final_filename,order,color,state,bytes_preserved,status
LX-Sig-40-Green Gloss-Open-Empty-ProFlex.copy-interior.webp,liberty-lincoln-40-11-green-gloss-signature-interior-empty.webp,11,green-gloss,empty,yes,ready
LX-Sig-40-Gray Marble-Open-Loaded-ProFlex.copy-interior.webp,liberty-lincoln-40-3-gray-marble-signature-interior-loaded.webp,3,gray-marble,loaded,yes,ready
LX-Sig-40-Gray Marble-Open-Full No Guns-ProFlex.copy-interior.webp,liberty-lincoln-40-3-gray-marble-signature-interior-full-no-guns.webp,3,gray-marble,full-no-guns,yes,ready
LX-Sig-40-Gray Marble-Open-Empty-ProFlex.copy-interior.webp,liberty-lincoln-40-3-gray-marble-signature-interior-empty.webp,3,gray-marble,empty,yes,ready
LX-Sig-40-Gray Gloss-Open-Loaded-ProFlex.copy-interior.webp,liberty-lincoln-40-8-gray-gloss-signature-interior-loaded.webp,8,gray-gloss,loaded,yes,ready
LX-Sig-40-Gray Gloss-Open-Full No Guns-ProFlex.copy-interior.webp,liberty-lincoln-40-8-gray-gloss-signature-interior-full-no-guns.webp,8,gray-gloss,full-no-guns,yes,ready
LX-Sig-40-Gray Gloss-Open-Empty-ProFlex.copy-interior.webp,liberty-lincoln-40-8-gray-gloss-signature-interior-empty.webp,8,gray-gloss,empty,yes,ready
LX-Sig-40-Forest Mist Gloss-Open-Loaded-ProFlexc.opy-interior.webp,liberty-lincoln-40-10-forest-mist-gloss-signature-interior-loaded.webp,10,forest-mist-gloss,loaded,yes,ready
LX-Sig-40-Forest Mist Gloss-Open-Full No Guns-ProFlex.copy-interior.webp,liberty-lincoln-40-10-forest-mist-gloss-signature-interior-full-no-guns.webp,10,forest-mist-gloss,full-no-guns,yes,ready
LX-Sig-40-Forest Mist Gloss-Open-Empty-ProFlex.copy-interior.webp,liberty-lincoln-40-10-forest-mist-gloss-signature-interior-empty.webp,10,forest-mist-gloss,empty,yes,ready
LX-Sig-40-Champagne Marble-Open-Loaded-ProFlex-interior.webp,liberty-lincoln-40-2-champagne-marble-signature-interior-loaded.webp,2,champagne-marble,loaded,yes,ready
LX-Sig-40-Champagne Marble-Open-Full No Guns-ProFlex.copy-interior.webp,liberty-lincoln-40-2-champagne-marble-signature-interior-full-no-guns.webp,2,champagne-marble,full-no-guns,yes,ready
LX-Sig-40-Champagne Marble-Open-Empty-ProFlex.copy-interior.webp,liberty-lincoln-40-2-champagne-marble-signature-interior-empty.webp,2,champagne-marble,empty,yes,ready
LX-Sig-40-Champagne Gloss-Open-Loaded-ProFlex-interior.webp,liberty-lincoln-40-7-champagne-gloss-signature-interior-loaded.webp,7,champagne-gloss,loaded,yes,ready
LX-Sig-40-Champagne Gloss-Open-Full No Guns-ProFlex.copy-interior.webp,liberty-lincoln-40-7-champagne-gloss-signature-interior-full-no-guns.webp,7,champagne-gloss,full-no-guns,yes,ready
LX-Sig-40-Champagne Gloss-Open-Empty-ProFlex.copy-interior.webp,liberty-lincoln-40-7-champagne-gloss-signature-interior-empty.webp,7,champagne-gloss,empty,yes,ready
LX-Sig-40-Burgundy Marble-Open-Loaded-ProFlex.copy-interior.webp,liberty-lincoln-40-4-burgundy-marble-signature-interior-loaded.webp,4,burgundy-marble,loaded,yes,ready
LX-Sig-40-Burgundy Marble-Open-Full No Guns-ProFlex.copy-interior.webp,liberty-lincoln-40-4-burgundy-marble-signature-interior-full-no-guns.webp,4,burgundy-marble,full-no-guns,yes,ready
LX-Sig-40-Burgundy Marble-Open-Empty-ProFlex.copy-interior.webp,liberty-lincoln-40-4-burgundy-marble-signature-interior-empty.webp,4,burgundy-marble,empty,yes,ready
LX-Sig-40-Bronze Gloss-Open-Loaded-ProFlexc.opy-interior.webp,liberty-lincoln-40-9-bronze-gloss-signature-interior-loaded.webp,9,bronze-gloss,loaded,yes,ready
LX-Sig-40-Bronze Gloss-Open-Full No Guns-ProFlex.copy-interior.webp,liberty-lincoln-40-9-bronze-gloss-signature-interior-full-no-guns.webp,9,bronze-gloss,full-no-guns,yes,ready
LX-Sig-40-Bronze Gloss-Open-Empty-ProFlex.copy-interior.webp,liberty-lincoln-40-9-bronze-gloss-signature-interior-empty.webp,9,bronze-gloss,empty,yes,ready
LX-Sig-40-Blue Gloss-Open-Loaded-ProFlex.copy-interior.webp,liberty-lincoln-40-22-blue-gloss-signature-interior-loaded.webp,22,blue-gloss,loaded,yes,ready
LX-Sig-40-Blue Gloss-Open-Full No Guns-ProFlex.copy-interior.webp,liberty-lincoln-40-22-blue-gloss-signature-interior-full-no-guns.webp,22,blue-gloss,full-no-guns,yes,ready
LX-Sig-40-Blue Gloss-Open-Empty-ProFlex-interior.webp,liberty-lincoln-40-22-blue-gloss-signature-interior-empty.webp,22,blue-gloss,empty,yes,ready
